denial_reason_1,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,loan_term,property_value,occupancy_type,applicant_age,income
10,3,4,5,2,1,1,285000,5.375,360,295000,1,1,69
10,3,2,5,1,2,1,335000,5.625,360,345000,1,0,94
10,3,4,5,1,1,1,685000,5.375,360,815000,1,0,239
10,3,4,5,2,1,1,365000,5.75,360,385000,1,4,131
10,3,2,5,2,1,1,525000,4.949534551,360,450057.0659,1,1,126
10,3,2,5,2,1,32,175000,4.625,360,215000,1,1,69
3,3,4,3,1,2,32,465000,4.949534551,360,585000,1,1,139
10,3,4,5,1,1,1,495000,4.5,360,545000,1,0,89
10,3,3,5,1,1,32,345000,2.625,180,725000,1,3,108
10,3,2,5,2,1,1,195000,4.949534551,360,450057.0659,1,1,94
10,3,4,5,2,1,32,395000,4.875,360,605000,1,1,100
10,3,3,5,2,1,32,265000,3.875,360,325000,1,2,155
10,3,4,1,1,1,1,245000,3.125,360,255000,1,6,41
10,3,4,5,2,1,32,215000,2.375,360,315000,1,2,207
10,3,4,27,1,1,1,595000,4.949534551,360,450057.0659,1,2,168
10,3,4,5,1,1,1,105000,7.625,360,135000,3,2,190
10,3,4,5,1,1,1,185000,5.5,360,205000,1,0,160
10,3,4,5,2,1,1,455000,4.949534551,360,450057.0659,1,2,112
10,3,0,6,1,2,1,235000,5.875,360,235000,1,2,85
10,3,2,5,2,1,32,185000,4.125,360,295000,1,0,41
9,3,2,5,1,1,1,195000,4.949534551,360,205000,1,6,57
10,3,4,5,1,2,1,295000,5.625,360,305000,1,1,113
10,3,4,5,1,1,31,135000,3.25,360,195000,1,0,62
10,3,4,5,1,1,32,75000,5.75,360,125000,1,2,59
10,3,0,7,4,1,1,645000,5.25,360,725000,1,5,125.2476928
10,3,0,6,1,2,32,245000,4.949534551,325.5368732,450057.0659,1,4,8
10,3,0,6,3,1,1,465000,9,360,585000,3,0,125.2476928
10,3,4,5,1,1,32,125000,3.95,360,375000,1,0,158
10,3,4,5,2,1,31,105000,4.949534551,360,450057.0659,1,2,33
10,3,4,5,1,1,1,95000,5.875,360,105000,1,4,48
10,3,0,6,1,1,31,495000,4.949534551,240,450057.0659,1,5,59
10,3,4,5,1,1,32,1505000,4.949534551,360,450057.0659,1,2,1397
10,3,4,6,1,1,1,175000,5.625,360,215000,1,2,63
10,3,4,2,2,1,1,335000,7.625,360,425000,3,1,159
10,3,4,5,2,3,1,455000,4.949534551,360,450057.0659,1,0,90
10,3,4,3,1,2,32,205000,3.49,360,245000,1,3,83
10,3,2,5,2,2,1,215000,4.949534551,360,450057.0659,1,2,57
7,3,0,6,3,1,2,175000,4.949534551,300,1905000,1,3,200
10,3,2,5,1,1,1,275000,4.375,360,365000,2,2,137
10,3,0,6,1,1,32,455000,4.949534551,360,450057.0659,1,2,88
10,3,4,5,1,1,1,465000,4.625,360,615000,2,4,263
10,3,0,7,4,1,31,275000,4.5,120,525000,3,5,125.2476928
10,3,2,6,2,1,32,45000,4.25,300,735000,1,1,87
10,3,4,5,1,1,1,295000,3.375,360,305000,1,0,59
10,3,4,5,2,2,1,305000,4.949534551,360,450057.0659,1,1,156
10,3,4,5,2,1,31,145000,3.5,240,165000,1,0,40
10,3,0,7,4,1,1,125000,4.5,60,165000,3,5,125.2476928
