,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
187,9782.63,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,335000,6.875,9782.63,360,355000,1,25-34,81,10
188,8648.39,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,1,325000,6.625,8648.39,360,345000,1,25-34,72,10
189,7575.68,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,195000,6.125,7575.68,360,225000,1,35-44,118,10
190,15354.18,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,485000,6.5,15354.18,360,555000,1,25-34,178,10
194,13929.31,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,335000,5.875,13929.31,360,345000,1,25-34,135,10
196,19585.06,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,2,1,365000,5.625,19585.06,360,375000,1,25-34,87,10
197,8293.85,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,255000,6.375,8293.85,360,395000,1,25-34,70,10
204,6658.65,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,145000,5.875,6658.65,360,245000,1,55-64,83,10
206,15339.16,Single Family (1-4 Units):Site-Built,Joint,5,1,1,1,455000,6.25,15339.16,360,505000,1,35-44,200,10
207,6628.22,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,32,275000,7.125,6628.22,360,345000,1,45-54,80,10
210,2943.4,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,1,1,275000,7.375,2943.4,360,285000,1,35-44,78,10
211,15102.05,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,575000,6.25,15102.05,360,735000,1,35-44,113,10
214,6192.55,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,295000,7.499,6192.55,360,395000,1,55-64,83,10
215,5994.27,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,215000,6.625,5994.27,360,265000,1,45-54,120,10
216,9048.55,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,295000,7.125,9048.55,360,395000,1,65-74,128,10
217,9694.47,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,325000,6.875,9694.47,360,345000,1,25-34,84,10
223,10750.4,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,315000,6.5,10750.4,360,395000,1,35-44,170,10
227,10798.53,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,805000,7.25,10798.53,360,1005000,1,25-34,730,10
228,6047.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,195000,6.125,6047.58,360,425000,1,45-54,170,10
230,5652.78,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,3,1,265000,5.75,5652.78,360,265000,1,35-44,112,10
232,10494.45,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,365000,6.375,10494.45,360,485000,1,35-44,86,10
233,9552.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,245000,7.125,9552.93,360,315000,1,35-44,92,10
234,8094.45,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,205000,6.5,8094.45,360,305000,1,65-74,70,10
235,7373.7,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,195000,6.875,7373.7,360,255000,1,35-44,53,10
237,2652.19,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,355000,6,2652.19,360,445000,1,55-64,192,10
239,5236.83,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,125000,6.875,5236.83,360,135000,1,<25,45,10
242,15189.94,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,245000,5.375,15189.94,360,285000,1,45-54,93,10
244,16650.38,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,2,1,415000,6,16650.38,360,425000,1,35-44,88,10
245,16173.17,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,905000,5.75,16173.17,360,1125000,1,45-54,1237,10
247,8409.6,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,2,1,335000,7.5,8409.6,360,345000,1,45-54,119,10
248,4022.9,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,155000,6.75,4022.9,360,165000,1,25-34,63,10
251,9374.98,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,305000,6.75,9374.98,360,315000,1,25-34,72,10
254,10316.06,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,305000,6.625,10316.06,360,675000,1,25-34,96,10
255,10968.97,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,395000,6.5,10968.97,360,495000,1,<25,90,10
256,6414.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,255000,6.25,6414.25,360,425000,1,65-74,78,10
257,3532.9,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,1,175000,6.375,3532.9,360,185000,1,55-64,54,10
259,12261.67,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,215000,5.5,12261.67,360,335000,1,45-54,69,10
262,26274.03,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,1,705000,6.125,26274.03,360,725000,1,45-54,200,10
263,5164.45,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,1,255000,6.375,5164.45,360,495000,1,>74,93,10
265,14009.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,31,405000,6.75,14009.95,360,605000,1,35-44,160,10
268,16058.35,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,555000,6.375,16058.35,360,805000,1,35-44,224,10
270,9944.95,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,3,1,375000,6,9944.95,360,775000,1,35-44,106,10
271,4324.56,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,205000,6.875,4324.56,360,295000,1,65-74,81,10
